angle_degrees,visibility,visibility_error,max_intensity,min_intensity,max_intensity_error,min_intensity_error
-10,0.2276187024284161,0.010362971289028184,338700.0,213100.0,3529.2429153510466,4094.7120370871826
0,0.056786145791381394,0.004695483131335013,131200.0,117100.0,918.9365834726815,737.8647873726219
9,0.4116955627387599,0.012196633378432447,218363.63636363635,91000.0,4388.000165741274,1949.3588689617927
18,0.6750304506699146,0.011769629651905754,312545.45454545453,60636.36363636364,6562.981584061262,2292.2795323750233
27,0.8148673283370469,0.01799365012353715,407272.7272727273,41545.454545454544,9445.537666971733,4344.275229854489
36,0.9313793103448277,0.014706025129479322,466750.0,16583.333333333332,12203.76246007018,3654.594451654056
45,0.9815567674764503,0.006526486950174445,454181.8181818182,4227.272727272727,7884.391946347946,1508.039063877928
54,0.9609396849072434,0.006721635938202376,382454.54545454547,7618.181818181818,6377.5173282969035,1331.028310606639
63,0.8487394957983194,0.016616014921402102,290000.0,23727.272727272728,4449.719092257398,2796.101181678127
72,0.6116564417177914,0.015358917983875843,262700.0,63300.0,3020.3016773531454,3020.3016773531454
81,0.390286717378584,0.006812611152666682,216000.0,94727.27272727272,2792.8480087537882,904.5340337332908
90,0.2856734343723191,0.016204733938495773,204363.63636363635,113545.45454545454,3500.6492904239144,3503.2452487268533
100,0.2385707598689343,0.008723674719653102,396900.0,244000.0,4581.363212940979,3527.6684147527876
