Powermeter serial number; P0021337
Sensor serial number; 17053015
Sensor Type; Photodiode
Wavelength(nm); 670

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

10/2/2025;16:48:14.383; 3.2656E-06
10/2/2025;16:48:14.413; 3.1761E-06
10/2/2025;16:48:14.420; 2.2981E-06
10/2/2025;16:48:14.427; 2.1123E-06
10/2/2025;16:48:14.434; 1.9744E-06
10/2/2025;16:48:14.468; 1.869E-06
10/2/2025;16:48:14.475; 1.6118E-06
10/2/2025;16:48:14.481; 1.6049E-06
10/2/2025;16:48:14.514; 1.6315E-06
10/2/2025;16:48:14.521; 1.8177E-06
10/2/2025;16:48:14.528; 1.844E-06
10/2/2025;16:48:14.538; 1.8649E-06
10/2/2025;16:48:14.544; 1.9187E-06
10/2/2025;16:48:14.551; 1.9316E-06
10/2/2025;16:48:14.558; 1.9467E-06
10/2/2025;16:48:14.565; 1.9388E-06
10/2/2025;16:48:14.572; 1.9239E-06
10/2/2025;16:48:14.578; 1.981E-06
10/2/2025;16:48:14.585; 1.9885E-06
10/2/2025;16:48:14.618; 1.9725E-06
10/2/2025;16:48:14.625; 1.7293E-06
10/2/2025;16:48:14.632; 1.6178E-06
10/2/2025;16:48:14.667; 1.48E-06
10/2/2025;16:48:14.674; 1.4004E-06
10/2/2025;16:48:14.681; 1.0525E-06
10/2/2025;16:48:14.687; 1.0119E-06
10/2/2025;16:48:14.719; 9.7126E-07
10/2/2025;16:48:14.725; 8.9713E-07
10/2/2025;16:48:14.732; 8.9685E-07
10/2/2025;16:48:14.764; 9.0125E-07
10/2/2025;16:48:14.770; 9.018E-07
10/2/2025;16:48:14.775; 9.3721E-07
10/2/2025;16:48:14.781; 9.3502E-07
10/2/2025;16:48:14.814; 9.4133E-07
10/2/2025;16:48:14.821; 9.6714E-07
10/2/2025;16:48:14.824; 1.2302E-06
10/2/2025;16:48:14.830; 1.3153E-06
10/2/2025;16:48:14.839; 1.4034E-06
10/2/2025;16:48:14.846; 1.4901E-06
10/2/2025;16:48:14.852; 1.5978E-06
10/2/2025;16:48:14.859; 1.6815E-06
10/2/2025;16:48:14.866; 1.7738E-06
10/2/2025;16:48:14.872; 1.8402E-06
10/2/2025;16:48:14.879; 1.8833E-06
10/2/2025;16:48:14.912; 1.9075E-06
10/2/2025;16:48:14.919; 1.9588E-06
10/2/2025;16:48:14.926; 2.33E-06
10/2/2025;16:48:14.933; 2.431E-06
10/2/2025;16:48:14.966; 2.5312E-06
10/2/2025;16:48:14.970; 2.7374E-06
10/2/2025;16:48:14.976; 2.7352E-06
10/2/2025;16:48:15.012; 2.6998E-06
10/2/2025;16:48:15.019; 2.6608E-06
10/2/2025;16:48:15.026; 2.6839E-06
10/2/2025;16:48:15.033; 2.764E-06
10/2/2025;16:48:15.081; 2.8275E-06
10/2/2025;16:48:15.114; 2.9321E-06
10/2/2025;16:48:15.120; 3.1783E-06
10/2/2025;16:48:15.126; 3.2187E-06
10/2/2025;16:48:15.132; 3.2722E-06
10/2/2025;16:48:15.139; 3.3071E-06
10/2/2025;16:48:15.146; 3.2802E-06
10/2/2025;16:48:15.153; 3.2665E-06
10/2/2025;16:48:15.159; 3.314E-06
