Powermeter serial number; P0021337
Sensor serial number; 17053015
Sensor Type; Photodiode
Wavelength(nm); 670

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

10/8/2025;15:29:32.111; 5.3357E-06
10/8/2025;15:29:32.117; 5.3195E-06
10/8/2025;15:29:32.154; 5.3025E-06
10/8/2025;15:29:32.161; 5.2869E-06
10/8/2025;15:29:32.167; 5.2347E-06
10/8/2025;15:29:32.172; 5.2385E-06
10/8/2025;15:29:32.179; 5.2407E-06
10/8/2025;15:29:32.211; 5.2319E-06
10/8/2025;15:29:32.218; 5.1932E-06
10/8/2025;15:29:32.223; 5.1633E-06
10/8/2025;15:29:32.256; 5.1496E-06
10/8/2025;15:29:32.262; 5.0579E-06
10/8/2025;15:29:32.268; 5.0532E-06
10/8/2025;15:29:32.274; 5.0436E-06
10/8/2025;15:29:32.307; 5.0348E-06
10/8/2025;15:29:32.313; 4.9969E-06
10/8/2025;15:29:32.319; 4.9961E-06
10/8/2025;15:29:32.353; 4.992E-06
10/8/2025;15:29:32.359; 4.9851E-06
10/8/2025;15:29:32.366; 4.9129E-06
10/8/2025;15:29:32.373; 4.897E-06
10/8/2025;15:29:32.406; 4.8715E-06
10/8/2025;15:29:32.411; 4.872E-06
10/8/2025;15:29:32.418; 4.8791E-06
10/8/2025;15:29:32.450; 4.8997E-06
10/8/2025;15:29:32.456; 4.9055E-06
10/8/2025;15:29:32.462; 4.8682E-06
10/8/2025;15:29:32.468; 4.8451E-06
10/8/2025;15:29:32.474; 4.8273E-06
10/8/2025;15:29:32.480; 4.8144E-06
10/8/2025;15:29:32.487; 4.8004E-06
10/8/2025;15:29:32.492; 4.7795E-06
10/8/2025;15:29:32.498; 4.7649E-06
10/8/2025;15:29:32.504; 4.7616E-06
10/8/2025;15:29:32.510; 4.7594E-06
10/8/2025;15:29:32.516; 4.7559E-06
10/8/2025;15:29:32.521; 4.7531E-06
10/8/2025;15:29:32.557; 4.7432E-06
10/8/2025;15:29:32.563; 4.7037E-06
10/8/2025;15:29:32.569; 4.69E-06
10/8/2025;15:29:32.602; 4.6886E-06
10/8/2025;15:29:32.610; 4.6793E-06
