Powermeter serial number; P0021337
Sensor serial number; 17053015
Sensor Type; Photodiode
Wavelength(nm); 670

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

10/2/2025;16:07:37.655; 3.6634E-05
10/2/2025;16:07:37.661; 3.6593E-05
10/2/2025;16:07:37.668; 3.6572E-05
10/2/2025;16:07:37.675; 3.6416E-05
10/2/2025;16:07:37.700; 3.6193E-05
10/2/2025;16:07:37.744; 3.5984E-05
10/2/2025;16:07:37.751; 3.5232E-05
10/2/2025;16:07:37.758; 3.322E-05
10/2/2025;16:07:37.791; 3.2629E-05
10/2/2025;16:07:37.798; 3.194E-05
10/2/2025;16:07:37.804; 2.9155E-05
10/2/2025;16:07:37.811; 2.8733E-05
10/2/2025;16:07:37.845; 2.8765E-05
10/2/2025;16:07:37.852; 2.6108E-05
10/2/2025;16:07:37.855; 2.5454E-05
10/2/2025;16:07:37.887; 2.4575E-05
10/2/2025;16:07:37.894; 2.4017E-05
10/2/2025;16:07:37.900; 2.2623E-05
10/2/2025;16:07:37.908; 2.2342E-05
10/2/2025;16:07:37.943; 2.2334E-05
10/2/2025;16:07:37.949; 2.0148E-05
10/2/2025;16:07:37.956; 1.9788E-05
10/2/2025;16:07:37.964; 1.9116E-05
10/2/2025;16:07:37.971; 1.9021E-05
10/2/2025;16:07:37.977; 1.9233E-05
10/2/2025;16:07:37.984; 1.9148E-05
10/2/2025;16:07:37.991; 1.8726E-05
10/2/2025;16:07:37.999; 1.8152E-05
10/2/2025;16:07:38.005; 1.8046E-05
10/2/2025;16:07:38.011; 1.8146E-05
10/2/2025;16:07:38.043; 1.7891E-05
10/2/2025;16:07:38.049; 1.6134E-05
10/2/2025;16:07:38.055; 1.5799E-05
10/2/2025;16:07:38.061; 1.5535E-05
10/2/2025;16:07:38.093; 1.5356E-05
10/2/2025;16:07:38.100; 1.5089E-05
10/2/2025;16:07:38.106; 1.5102E-05
10/2/2025;16:07:38.133; 1.5086E-05
10/2/2025;16:07:38.140; 1.5168E-05
10/2/2025;16:07:38.146; 1.5454E-05
10/2/2025;16:07:38.153; 1.553E-05
10/2/2025;16:07:38.186; 1.559E-05
10/2/2025;16:07:38.192; 1.6273E-05
10/2/2025;16:07:38.199; 1.6524E-05
10/2/2025;16:07:38.229; 1.6654E-05
10/2/2025;16:07:38.236; 1.651E-05
10/2/2025;16:07:38.243; 1.685E-05
10/2/2025;16:07:38.250; 1.6905E-05
10/2/2025;16:07:38.257; 1.7319E-05
10/2/2025;16:07:38.270; 1.7724E-05
10/2/2025;16:07:38.276; 1.7986E-05
10/2/2025;16:07:38.282; 1.8062E-05
10/2/2025;16:07:38.289; 1.8255E-05
10/2/2025;16:07:38.295; 1.9004E-05
10/2/2025;16:07:38.302; 1.9886E-05
10/2/2025;16:07:38.308; 2.0447E-05
10/2/2025;16:07:38.341; 2.1073E-05
10/2/2025;16:07:38.347; 2.5985E-05
10/2/2025;16:07:38.355; 2.6658E-05
10/2/2025;16:07:38.362; 2.788E-05
10/2/2025;16:07:38.402; 2.9283E-05
10/2/2025;16:07:38.409; 3.4584E-05
10/2/2025;16:07:38.435; 3.4894E-05
10/2/2025;16:07:38.442; 3.618E-05
10/2/2025;16:07:38.448; 3.6299E-05
10/2/2025;16:07:38.454; 3.6386E-05
10/2/2025;16:07:38.483; 3.6425E-05
10/2/2025;16:07:38.489; 3.6446E-05
10/2/2025;16:07:38.495; 3.658E-05
10/2/2025;16:07:38.502; 3.667E-05
10/2/2025;16:07:38.535; 3.6711E-05
10/2/2025;16:07:38.541; 3.6672E-05
10/2/2025;16:07:38.549; 3.5069E-05
10/2/2025;16:07:38.560; 3.4636E-05
10/2/2025;16:07:38.568; 3.435E-05
10/2/2025;16:07:38.574; 3.3743E-05
10/2/2025;16:07:38.580; 3.3402E-05
10/2/2025;16:07:38.587; 3.3165E-05
10/2/2025;16:07:38.594; 3.2839E-05
10/2/2025;16:07:38.601; 3.2428E-05
10/2/2025;16:07:38.607; 3.1477E-05
10/2/2025;16:07:38.638; 3.0707E-05
10/2/2025;16:07:38.646; 3.0187E-05
