Powermeter serial number; P0021337
Sensor serial number; 17053015
Sensor Type; Photodiode
Wavelength(nm); 670

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

10/2/2025;16:42:45.145; 2.9969E-06
10/2/2025;16:42:45.155; 2.9925E-06
10/2/2025;16:42:45.161; 2.987E-06
10/2/2025;16:42:45.168; 2.9796E-06
10/2/2025;16:42:45.174; 2.9713E-06
10/2/2025;16:42:45.181; 2.9636E-06
10/2/2025;16:42:45.187; 2.9598E-06
10/2/2025;16:42:45.193; 2.9606E-06
10/2/2025;16:42:45.224; 2.9617E-06
10/2/2025;16:42:45.231; 2.965E-06
10/2/2025;16:42:45.238; 2.9639E-06
10/2/2025;16:42:45.245; 2.9601E-06
10/2/2025;16:42:45.281; 2.9562E-06
10/2/2025;16:42:45.288; 2.9101E-06
10/2/2025;16:42:45.289; 2.9005E-06
10/2/2025;16:42:45.321; 2.8931E-06
10/2/2025;16:42:45.328; 2.8892E-06
10/2/2025;16:42:45.335; 2.8956E-06
10/2/2025;16:42:45.342; 2.8988E-06
10/2/2025;16:42:45.380; 2.9052E-06
10/2/2025;16:42:45.393; 2.9441E-06
10/2/2025;16:42:45.425; 2.9628E-06
10/2/2025;16:42:45.435; 2.9428E-06
10/2/2025;16:42:45.441; 2.9392E-06
10/2/2025;16:42:45.450; 2.9359E-06
10/2/2025;16:42:45.458; 2.937E-06
10/2/2025;16:42:45.464; 2.9351E-06
10/2/2025;16:42:45.471; 2.9293E-06
10/2/2025;16:42:45.477; 2.926E-06
10/2/2025;16:42:45.484; 2.9238E-06
10/2/2025;16:42:45.490; 2.9293E-06
10/2/2025;16:42:45.522; 2.934E-06
10/2/2025;16:42:45.530; 2.9406E-06
10/2/2025;16:42:45.536; 2.9702E-06
10/2/2025;16:42:45.542; 2.9848E-06
10/2/2025;16:42:45.574; 2.9977E-06
10/2/2025;16:42:45.578; 3.0087E-06
10/2/2025;16:42:45.584; 3.0441E-06
10/2/2025;16:42:45.590; 3.0485E-06
10/2/2025;16:42:45.623; 3.052E-06
10/2/2025;16:42:45.631; 3.063E-06
10/2/2025;16:42:45.637; 3.0559E-06
10/2/2025;16:42:45.673; 3.0638E-06
10/2/2025;16:42:45.680; 3.0663E-06
10/2/2025;16:42:45.687; 3.0836E-06
10/2/2025;16:42:45.722; 3.0853E-06
10/2/2025;16:42:45.728; 3.0822E-06
10/2/2025;16:42:45.735; 3.0792E-06
10/2/2025;16:42:45.741; 3.0765E-06
