Powermeter serial number; P0021337
Sensor serial number; 17053015
Sensor Type; Photodiode
Wavelength(nm); 670

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)

10/2/2025;16:01:32.270; 2.9182E-05
10/2/2025;16:01:32.277; 2.9198E-05
10/2/2025;16:01:32.284; 2.9209E-05
10/2/2025;16:01:32.291; 2.9193E-05
10/2/2025;16:01:32.298; 2.9157E-05
10/2/2025;16:01:32.308; 2.9092E-05
10/2/2025;16:01:32.314; 2.9027E-05
10/2/2025;16:01:32.350; 2.8972E-05
10/2/2025;16:01:32.357; 2.8861E-05
10/2/2025;16:01:32.364; 2.8637E-05
10/2/2025;16:01:32.397; 2.8651E-05
10/2/2025;16:01:32.404; 2.8616E-05
10/2/2025;16:01:32.411; 2.8632E-05
10/2/2025;16:01:32.418; 2.8602E-05
10/2/2025;16:01:32.454; 2.8646E-05
10/2/2025;16:01:32.460; 2.8444E-05
10/2/2025;16:01:32.466; 2.839E-05
10/2/2025;16:01:32.500; 2.8262E-05
10/2/2025;16:01:32.511; 2.8139E-05
10/2/2025;16:01:32.521; 2.7755E-05
10/2/2025;16:01:32.557; 2.7812E-05
10/2/2025;16:01:32.562; 2.7513E-05
10/2/2025;16:01:32.568; 2.7322E-05
10/2/2025;16:01:32.578; 2.7107E-05
10/2/2025;16:01:32.584; 2.6895E-05
10/2/2025;16:01:32.588; 2.6723E-05
10/2/2025;16:01:32.594; 2.6628E-05
10/2/2025;16:01:32.600; 2.6383E-05
10/2/2025;16:01:32.606; 2.6173E-05
10/2/2025;16:01:32.612; 2.6083E-05
10/2/2025;16:01:32.618; 2.5964E-05
10/2/2025;16:01:32.652; 2.5817E-05
10/2/2025;16:01:32.658; 2.497E-05
10/2/2025;16:01:32.665; 2.4845E-05
10/2/2025;16:01:32.697; 2.4578E-05
10/2/2025;16:01:32.704; 2.4379E-05
10/2/2025;16:01:32.711; 2.3431E-05
10/2/2025;16:01:32.718; 2.3333E-05
10/2/2025;16:01:32.756; 2.3165E-05
10/2/2025;16:01:32.762; 2.2868E-05
10/2/2025;16:01:32.768; 2.2895E-05
10/2/2025;16:01:32.799; 2.2928E-05
10/2/2025;16:01:32.806; 2.2884E-05
10/2/2025;16:01:32.813; 2.2756E-05
10/2/2025;16:01:32.821; 2.268E-05
10/2/2025;16:01:32.853; 2.2636E-05
10/2/2025;16:01:32.857; 2.2625E-05
10/2/2025;16:01:32.864; 2.2604E-05
10/2/2025;16:01:32.870; 2.2601E-05
10/2/2025;16:01:32.878; 2.2576E-05
10/2/2025;16:01:32.885; 2.2522E-05
10/2/2025;16:01:32.891; 2.2517E-05
10/2/2025;16:01:32.897; 2.2506E-05
10/2/2025;16:01:32.904; 2.247E-05
10/2/2025;16:01:32.911; 2.2457E-05
10/2/2025;16:01:32.918; 2.244E-05
10/2/2025;16:01:32.953; 2.2451E-05
10/2/2025;16:01:32.959; 2.2326E-05
10/2/2025;16:01:32.966; 2.2299E-05
10/2/2025;16:01:32.992; 2.2261E-05
10/2/2025;16:01:32.999; 2.2233E-05
10/2/2025;16:01:33.005; 2.2203E-05
10/2/2025;16:01:33.012; 2.2187E-05
10/2/2025;16:01:33.044; 2.2171E-05
10/2/2025;16:01:33.051; 2.2391E-05
10/2/2025;16:01:33.058; 2.2468E-05
10/2/2025;16:01:33.064; 2.2508E-05
10/2/2025;16:01:33.097; 2.2593E-05
10/2/2025;16:01:33.104; 2.2593E-05
10/2/2025;16:01:33.112; 2.2669E-05
10/2/2025;16:01:33.152; 2.265E-05
10/2/2025;16:01:33.158; 2.2813E-05
10/2/2025;16:01:33.165; 2.2846E-05
10/2/2025;16:01:33.173; 2.2876E-05
10/2/2025;16:01:33.180; 2.3018E-05
10/2/2025;16:01:33.188; 2.3175E-05
10/2/2025;16:01:33.195; 2.3211E-05
10/2/2025;16:01:33.202; 2.3361E-05
10/2/2025;16:01:33.208; 2.3472E-05
10/2/2025;16:01:33.215; 2.3627E-05
10/2/2025;16:01:33.246; 2.3755E-05
10/2/2025;16:01:33.253; 2.387E-05
10/2/2025;16:01:33.259; 2.442E-05
10/2/2025;16:01:33.265; 2.4425E-05
10/2/2025;16:01:33.272; 2.4488E-05
10/2/2025;16:01:33.304; 2.4572E-05
10/2/2025;16:01:33.311; 2.5106E-05
10/2/2025;16:01:33.317; 2.5321E-05
10/2/2025;16:01:33.351; 2.5474E-05
10/2/2025;16:01:33.358; 2.5484E-05
10/2/2025;16:01:33.366; 2.5566E-05
10/2/2025;16:01:33.372; 2.5572E-05
10/2/2025;16:01:33.403; 2.564E-05
10/2/2025;16:01:33.408; 2.5939E-05
10/2/2025;16:01:33.416; 2.6135E-05
10/2/2025;16:01:33.446; 2.6203E-05
10/2/2025;16:01:33.453; 2.6179E-05
10/2/2025;16:01:33.460; 2.6919E-05
10/2/2025;16:01:33.467; 2.6968E-05
10/2/2025;16:01:33.491; 2.7145E-05
10/2/2025;16:01:33.498; 2.7393E-05
10/2/2025;16:01:33.504; 2.745E-05
10/2/2025;16:01:33.511; 2.7578E-05
10/2/2025;16:01:33.518; 2.7668E-05
10/2/2025;16:01:33.553; 2.7679E-05
10/2/2025;16:01:33.559; 2.8175E-05
10/2/2025;16:01:33.566; 2.8254E-05
10/2/2025;16:01:33.595; 2.8316E-05
10/2/2025;16:01:33.603; 2.8381E-05
10/2/2025;16:01:33.609; 2.8594E-05
10/2/2025;16:01:33.615; 2.8659E-05
10/2/2025;16:01:33.620; 2.8725E-05
10/2/2025;16:01:33.651; 2.8776E-05
10/2/2025;16:01:33.658; 2.8997E-05
10/2/2025;16:01:33.664; 2.9019E-05
10/2/2025;16:01:33.671; 2.8997E-05
10/2/2025;16:01:33.699; 2.8964E-05
10/2/2025;16:01:33.706; 2.8858E-05
10/2/2025;16:01:33.714; 2.8866E-05
10/2/2025;16:01:33.750; 2.8891E-05
10/2/2025;16:01:33.757; 2.8882E-05
10/2/2025;16:01:33.764; 2.9198E-05
10/2/2025;16:01:33.772; 2.9247E-05
10/2/2025;16:01:33.778; 2.9291E-05
10/2/2025;16:01:33.784; 2.9302E-05
10/2/2025;16:01:33.791; 2.9329E-05
10/2/2025;16:01:33.797; 2.9348E-05
10/2/2025;16:01:33.804; 2.9354E-05
10/2/2025;16:01:33.812; 2.9288E-05
10/2/2025;16:01:33.818; 2.9217E-05
10/2/2025;16:01:33.850; 2.913E-05
10/2/2025;16:01:33.870; 2.9068E-05
10/2/2025;16:01:33.903; 2.8716E-05
10/2/2025;16:01:33.910; 2.8123E-05
10/2/2025;16:01:33.917; 2.7959E-05
10/2/2025;16:01:33.947; 2.791E-05
10/2/2025;16:01:33.955; 2.7886E-05
10/2/2025;16:01:33.961; 2.7216E-05
10/2/2025;16:01:33.993; 2.7072E-05
10/2/2025;16:01:34.000; 2.684E-05
10/2/2025;16:01:34.007; 2.5934E-05
10/2/2025;16:01:34.015; 2.5757E-05
10/2/2025;16:01:34.050; 2.5651E-05
10/2/2025;16:01:34.056; 2.4891E-05
10/2/2025;16:01:34.065; 2.4605E-05
10/2/2025;16:01:34.073; 2.4308E-05
10/2/2025;16:01:34.082; 2.412E-05
10/2/2025;16:01:34.088; 2.3957E-05
10/2/2025;16:01:34.117; 2.3837E-05
10/2/2025;16:01:34.153; 2.3696E-05
10/2/2025;16:01:34.160; 2.2527E-05
10/2/2025;16:01:34.167; 2.2544E-05
10/2/2025;16:01:34.201; 2.2538E-05
10/2/2025;16:01:34.207; 2.2443E-05
10/2/2025;16:01:34.217; 2.2391E-05
10/2/2025;16:01:34.250; 2.2378E-05
10/2/2025;16:01:34.258; 2.2378E-05
10/2/2025;16:01:34.264; 2.2233E-05
10/2/2025;16:01:34.271; 2.2247E-05
10/2/2025;16:01:34.305; 2.2223E-05
10/2/2025;16:01:34.311; 2.2152E-05
10/2/2025;16:01:34.319; 2.2144E-05
10/2/2025;16:01:34.352; 2.2171E-05
10/2/2025;16:01:34.358; 2.2141E-05
10/2/2025;16:01:34.364; 2.2108E-05
10/2/2025;16:01:34.371; 2.2078E-05
10/2/2025;16:01:34.379; 2.2032E-05
10/2/2025;16:01:34.386; 2.204E-05
10/2/2025;16:01:34.393; 2.2084E-05
